TeaShop,X,Y
Hostel 1 canteen,1317,681
Hostel 2 Canteen,1165,655
Hostel 3 Canteen,1082,638
Hostel 4 Canteen,968,632
Sunrise Dhaba,1322,722
Tansa Canteen,957,675
Hostel 5 Canteen,951,758
Campus Hub,948,826
Hostel 9 Canteen,768,752
Hostel 7 Canteen,691,843
Hostel 6 Canteen,691,726
Hostel 12 Canteen,571,732
Amul,588,709
Hostel 8 Canteen,1048,961
Brewberries,1071,932
Hostel 11 Canteen,1157,983
Shack,1394,998
Staff Canteen,1394,906
Hostel 10 canteen,1491,1429
Chemical Canteen,1665,1243
IDC Canteen,1685,1083
Gulmohur,1428,1301
Kresit,1482,1272
Bhajiya Waala,1485,1309
Main Gate ke bahar,1611,1881
Elec,1571,1089
Hostel 16,1248,543
